01,송가인 더 드라마
02,그린 북
03,가버나움
04,디지몬 어드벤처 라스트 에볼루션 : 인연
05,베일리 어게인
06,먼 훗날 우리
07,원더
08,극장판 바이올렛 에버가든
09,아일라
010,당갈
11,포드 V 페라리
12,주전장
13,가나의 혼인잔치: 언약
14,쇼생크 탈출
15,터미네이터 2:오리지널
16,나 홀로 집에
17,덕구
18,라이언 일병 구하기
19,보헤미안 랩소디
20,월-E
21,클래식
22,사운드 오브 뮤직
23,포레스트 검프
24,헬프
25,매트릭스
26,빽 투 더 퓨쳐
27,인생은 아름다워
28,살인의 추억
29,글래디에이터
30,위대한 쇼맨
31,타이타닉
32,소년시절의 너
33,센과 치히로의 행방불명
34,아이즈 온 미 : 더 무비
35,토이 스토리 3
36,헌터 킬러
37,캐스트 어웨이
38,어벤져스: 엔드게임
39,알라딘
40,죽은 시인의 사회
41,집으로...
42,동주
43,레옹
44,반지의 제왕: 왕의 귀환
45,아이 캔 스피크
46,쉰들러 리스트
47,안녕 베일리
48,언플랜드
49,히든 피겨스
50,클레멘타인
